Location,Boolean,Year,BloomDate,DayOfYear
Sapporo,True,1953,1953-05-07,127.0
Sapporo,True,1954,1954-05-04,124.0
Sapporo,True,1955,1955-05-11,131.0
Sapporo,True,1956,1956-05-04,125.0
Sapporo,True,1957,1957-05-09,129.0
Sapporo,True,1958,,
Sapporo,True,1959,1959-05-05,125.0
Sapporo,True,1960,1960-05-05,126.0
Sapporo,True,1961,1961-05-04,124.0
Sapporo,True,1962,1962-04-30,120.0
Sapporo,True,1963,1963-05-02,122.0
Sapporo,True,1964,1964-05-04,125.0
Sapporo,True,1965,1965-05-13,133.0
Sapporo,True,1966,1966-05-03,123.0
Sapporo,True,1967,1967-05-01,121.0
Sapporo,True,1968,1968-04-26,117.0
Sapporo,True,1969,1969-05-05,125.0
Sapporo,True,1970,1970-05-03,123.0
Sapporo,True,1971,1971-05-09,129.0
Sapporo,True,1972,1972-04-29,120.0
Sapporo,True,1973,1973-05-05,125.0
Sapporo,True,1974,1974-05-11,131.0
Sapporo,True,1975,1975-05-04,124.0
Sapporo,True,1976,1976-05-07,128.0
Sapporo,True,1977,1977-05-11,131.0
Sapporo,True,1978,1978-05-10,130.0
Sapporo,True,1979,1979-05-09,129.0
Sapporo,True,1980,1980-05-14,135.0
Sapporo,True,1981,1981-05-05,125.0
Sapporo,True,1982,1982-05-04,124.0
Sapporo,True,1983,1983-04-28,118.0
Sapporo,True,1984,1984-05-12,133.0
Sapporo,True,1985,1985-05-03,123.0
Sapporo,True,1986,1986-05-05,125.0
Sapporo,True,1987,1987-05-06,126.0
Sapporo,True,1988,1988-05-03,124.0
Sapporo,True,1989,1989-04-29,119.0
Sapporo,True,1990,1990-04-25,115.0
Sapporo,True,1991,1991-05-02,122.0
Sapporo,True,1992,1992-05-04,125.0
Sapporo,True,1993,1993-05-06,126.0
Sapporo,True,1994,1994-05-06,126.0
Sapporo,True,1995,1995-05-01,121.0
Sapporo,True,1996,1996-05-05,126.0
Sapporo,True,1997,1997-05-01,121.0
Sapporo,True,1998,1998-04-23,113.0
Sapporo,True,1999,1999-05-03,123.0
Sapporo,True,2000,2000-05-08,129.0
Sapporo,True,2001,2001-04-29,119.0
Sapporo,True,2002,2002-04-22,112.0
Sapporo,True,2003,2003-05-01,121.0
Sapporo,True,2004,2004-05-05,126.0
Sapporo,True,2005,2005-05-10,130.0
Sapporo,True,2006,2006-05-08,128.0
Sapporo,True,2007,2007-05-04,124.0
Sapporo,True,2008,2008-04-21,112.0
Sapporo,True,2009,2009-05-01,121.0
Sapporo,True,2010,2010-05-07,127.0
Sapporo,True,2011,2011-05-07,127.0
Sapporo,True,2012,2012-05-01,122.0
Sapporo,True,2013,2013-05-13,133.0
Sapporo,True,2014,2014-04-29,119.0
Sapporo,True,2015,2015-04-22,112.0
Sapporo,True,2016,2016-04-25,116.0
Sapporo,True,2017,2017-04-28,118.0
Sapporo,True,2018,2018-04-26,116.0
Sapporo,True,2019,2019-04-24,114.0
Sapporo,True,2020,2020-04-30,121.0
Sapporo,True,2021,2021-04-22,112.0
Sapporo,True,2022,2022-04-23,113.0
Sapporo,True,2023,2023-04-15,105.0
