Year,PredictedBloomDay,PredictedBloomDate
2023,117.6921201775155,2023-04-27
2024,117.5538937309131,2024-04-26
2025,117.4156672843107,2025-04-27
2026,117.27744083770835,2026-04-27
2027,117.13921439110595,2027-04-27
2028,117.00098794450355,2028-04-26
2029,116.86276149790115,2029-04-26
2030,116.7245350512988,2030-04-26
2031,116.5863086046964,2031-04-26
2032,116.448082158094,2032-04-25
